datetime_UTC,num_dets (1800of1800),Location,Path,Sliced File Path
9/1/2022 4:00,13806,Carp Pond,/mnt/ubna_data_02/recover-20220901/UBNA_005/20220901_040000.WAV,ubna_data_02/recover-20220901/UBNA_005/20220901_040000.WAV
9/1/2022 3:30,13415,Carp Pond,/mnt/ubna_data_02/recover-20220901/UBNA_005/20220901_033000.WAV,ubna_data_02/recover-20220901/UBNA_005/20220901_033000.WAV
8/11/2022 4:30,10887,Carp Pond,/mnt/ubna_data_01/recover-20220811/UBNA_007/20220811_043000.WAV,ubna_data_01/recover-20220811/UBNA_007/20220811_043000.WAV
8/26/2022 10:00,6988,Central Pond,/mnt/ubna_data_01/recover-20220828/UBNA_010/20220826_100000.WAV,ubna_data_01/recover-20220828/UBNA_010/20220826_100000.WAV
8/13/2022 4:30,6726,Central Pond,/mnt/ubna_data_01/recover-20220815/UBNA_008/20220813_043000.WAV,ubna_data_01/recover-20220815/UBNA_008/20220813_043000.WAV
8/13/2022 5:00,6232,Central Pond,/mnt/ubna_data_01/recover-20220815/UBNA_008/20220813_050000.WAV,ubna_data_01/recover-20220815/UBNA_008/20220813_050000.WAV
6/28/2022 8:30,8496,Foliage,/mnt/ubna_data_01/recover-20220630_unit2/20220628_083000.WAV,ubna_data_01/recover-20220630_unit2/20220628_083000.WAV
6/28/2022 7:30,7460,Foliage,/mnt/ubna_data_01/recover-20220630_unit2/20220628_073000.WAV,ubna_data_01/recover-20220630_unit2/20220628_073000.WAV
7/22/2022 10:30,6921,Foliage,/mnt/ubna_data_01/recover-20220722/UBNA_012/20220722_103000.WAV,ubna_data_01/recover-20220722/UBNA_012/20220722_103000.WAV
8/26/2022 10:30,12714,Telephone Field ,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_103000.WAV,ubna_data_01/recover-20220828/UBNA_007/20220826_103000.WAV
8/26/2022 9:30,11095,Telephone Field ,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV
9/11/2022 11:30,10354,Telephone Field ,/mnt/ubna_data_02/recover-20220912/UBNA_007/20220911_113000.WAV,ubna_data_02/recover-20220912/UBNA_007/20220911_113000.WAV
8/26/2022 9:00,10272,Telephone Field ,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_090000.WAV,ubna_data_01/recover-20220828/UBNA_007/20220826_090000.WAV
9/3/2022 7:00,10212,Telephone Field ,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_070000.WAV,ubna_data_02/recover-20220905/UBNA_007/20220903_070000.WAV
9/3/2022 7:30,10064,Telephone Field ,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_073000.WAV,ubna_data_02/recover-20220905/UBNA_007/20220903_073000.WAV
